,like,content,date,place,tags
15,"1,150",일주일만에 바로 또 캠핑 왔어요!캠핑 준비할 때는 2주 연속 캠핑이 체력적으로 힘들 것 같아 걱정이었는데막상 도착해서 텐트 치고 나니 역시 오길 너무 잘했네요! 😆😆이것이 힐링이네요😏#찡꾸캠핑 #캠핑 #캠린이부부 #캠핑스타그램 #감성캠핑 #노스피크 #옐로우스톤 #노스피크옐로우스톤 #노스피크윈드브레이크 #돌고래캠핑장블루베리9번 #돌고래캠핑장,2021년 3월 12일,돌고래캠핑장,"['찡꾸캠핑', '노스피크옐로우스톤', '노스피크윈드브레이크', '돌고래캠핑장블루베리9번', '돌고래캠핑장']"
16,336,생각보다 동파육과 멘보샤 반응이 좋아서 메이킹 포토(?)도 공유해요😆바다가 보이는 오션뷰 주방에서 요리해서인지 음식이 더 맛있었던 것 같아요👍👍요리 영상도 조만간 업로드 예정이니 기대해주세요😏😏#찡꾸캠핑 #캠핑 #캠린이부부 #캠핑스타그램 #감성캠핑 #노스피크 #노스피크윈드브레이크 #스탠리 #스탠리런치박스 #오션뷰캠핑장 #캠핑요리 #요리스타그램,2021년 3월 9일,나라펜션캠핑장,"['찡꾸캠핑', '노스피크윈드브레이크', '스탠리', '스탠리런치박스', '오션뷰캠핑장', '캠핑요리', '요리스타그램']"
17,305,찡꾸 중화요리점 개업했어요👍이번 캠핑의 스페셜 메뉴는 동파육과 멘보샤였어요😲원래는 동파육이랑 멘보샤만 준비해갔는데 뭔가 부족한 것 같아서 급하게 남은 재료로 볶음밥까지 만들었는데 구욷😋이제 중국요리 배달 안시켜먹어도 될 것 같아요😆😆캠핑은 언제나 요리의 즐거움😍#찡꾸캠핑 #캠핑 #캠린이부부 #캠핑스타그램 #동계캠핑 #감성캠핑 #노스피크 #옐로우스톤 #노스피크옐로우스톤 #캠핑요리 #요리추천 #감성요리 #중화요리 #동파육 #멘보샤 #남은재료볶음밥,2021년 3월 7일,나라펜션캠핑장,"['찡꾸캠핑', '캠핑', '노스피크옐로우스톤', '캠핑요리', '요리추천', '감성요리', '중화요리', '동파육', '멘보샤', '남은재료볶음밥']"
18,292,"🏕𝕨𝕠𝕟𝕙𝕒𝕖_𝕔𝕒𝕞𝕡𝕚𝕟𝕘 👩🏻‍❤️‍👨🏻캠핑가면 왜 세끼 다챙겨먹게되는거죠.. 다이어트는 캠핑끝나고부터 시작,,🐷#캠핑#리버뷰#리버뷰캠핑장#캠핑#노르디스크#우트가르드#우트#캠핑#캠핑스타그램#파라솔#캠린이#캠핑용품#캠핑장비#캠핑음식#캠핑요리#캠핑장#캠핑족#캠핑장추천#노지캠핑#캠핑클럽#차박#차박캠핑#갬성캠핑#캠핑기록#삼겹살#캠핑고기#캠핑삼겹살",2022년 5월 8일,,"['캠핑', '리버뷰', '리버뷰캠핑장', '캠핑', '노르디스크', '우트가르드', '우트', '캠핑', '캠핑스타그램', '파라솔', '캠린이', '캠핑용품', '캠핑장비', '캠핑음식', '캠핑요리', '캠핑장', '캠핑족', '캠핑장추천', '노지캠핑', '캠핑클럽', '차박', '차박캠핑', '갬성캠핑', '캠핑기록', '삼겹살', '캠핑고기', '캠핑삼겹살']"
19,312,"🏕𝕨𝕠𝕟𝕙𝕒𝕖_𝕔𝕒𝕞𝕡𝕚𝕟𝕘 👩🏻‍❤️‍👨🏻작년에 갔던 호수뷰 캠핑장에 어른이날 캠핑으로 또왔어요🙌⛺충주 카누캠핑장✔️가격 : 6만원✔️주소 : 충북 충주시 동량면 지등로 1276-4✔️입실 : 2시 / 퇴실: 11시 (선착순으로 원하는 빈 사이트이용할수있어요) (입실시간보다 조금 일찍 가시는걸 추천드려요)✔️전체 호수뷰. B동은 호수뷰지만 펜스가 있어요(예약할때 A/B만 지정가능. 자리마다 조명 앞에 사이트번호가 적혀있었는데 이번에 갔을땐 없더라구요🥲)✔️매점에서 장작, 숯불, 부탄가스, 이소가스만 판매해서 근처 하나로마트가 있으니 필요하신거 사오시는게 편해요!✔️샤워실(온수콸콸!A사이트는 공용,B사이트는 1인샤워실), 화장실,개수대 있음✔️쓰레기봉지는 관리실 앞에서 자유롭게 가져갈수있음✔️전자레인지 있음✔️매너타임 PM10시✔️2인만 입장 가능. 노키즈존! 애견동반 불가능✔️사이트자체는 크지만 옆 사이트가 거리가 가까워서 대화소리가 다들려요!#캠핑장공유#카누캠핑장#충주호#충주캠핑장#리버뷰#리버뷰캠핑장#캠핑",2022년 5월 8일,충주카누캠핑장,"['캠핑장공유', '카누캠핑장', '충주호', '충주캠핑장', '리버뷰', '리버뷰캠핑장', '캠핑']"
20,246,"🏕𝕨𝕠𝕟𝕙𝕒𝕖_𝕔𝕒𝕞𝕡𝕚𝕟𝕘♥️ 비오는 날씨에 찰떡인것같아 꺼낸 수제비 재료,,반죽할때 물을 많이 넣어서 망했다 직감한순간 옆에 보이는 양송이스프가루😂 망할뻔한 수제비를 양송이스프가 살렸네요😋 양파,당근,김,청양고추 송송 썰어서 만든 양송이수제비 맛은 기가막혀요🙌",2022년 5월 7일,,[]
21,253,🏕𝕨𝕠𝕟𝕙𝕒𝕖_𝕔𝕒𝕞𝕡𝕚𝕟𝕘♥️ 분위기에 취하고✨맛에 취하고✨,2022년 5월 6일,,[]
22,225,"🏕𝕨𝕠𝕟𝕙𝕒𝕖_𝕔𝕒𝕞𝕡𝕚𝕟𝕘♥️ 캠모닝🥯옆집 철수할때 여유롭게 모닝브런치꿀맛인데 아메리카노 살걸 백번 후회,,☕️ 역시 빵에는 아아가 국룰이쥬",2022년 5월 6일,,[]
23,255,🏕𝕨𝕠𝕟𝕙𝕒𝕖_𝕔𝕒𝕞𝕡𝕚𝕟𝕘♥️ 피칭하고 먹는 음식은 꿀맛🐷,2022년 5월 5일,,[]
24,210,🏕𝕨𝕠𝕟𝕙𝕒𝕖_𝕔𝕒𝕞𝕡𝕚𝕟𝕘♥️ 토마호크 당분간 안뇽🙌#캠핑#토마호크#토마호크스테이크🍖,2022년 5월 5일,,"['캠핑', '토마호크', '토마호크스테이크']"
25,246,🏕𝕨𝕠𝕟𝕙𝕒𝕖_𝕔𝕒𝕞𝕡𝕚𝕟𝕘♥️ 멋진노을에 좋아하는 사람들🌇#캠핑#노르디스크#우트가르드#텐트#노지캠핑#캠핑클럽#차박#차박캠핑#갬성캠핑#캠핑일기#캠핑기록#노을#곡교천야영장,2022년 5월 1일,,"['캠핑', '노르디스크', '우트가르드', '텐트', '노지캠핑', '캠핑클럽', '차박', '차박캠핑', '갬성캠핑', '캠핑일기', '캠핑기록', '노을', '곡교천야영장']"
26,209,"🏕𝕨𝕠𝕟𝕙𝕒𝕖_𝕔𝕒𝕞𝕡𝕚𝕟𝕘♥️ 원해부부의 캠핑식탁🍽먹는거에 진심이었다,,또 먹고싶은맛..❤️#캠핑음식#캠핑요리#해물라면#꽃게라면",2022년 4월 30일,,"['캠핑음식', '캠핑요리', '해물라면', '꽃게라면']"
27,13,올해 첫 캠핑🏕 첫 릴스📷작년 7-8월쯤 캠핑을 처음 했는데 벌써 3월이네요 ㅎㅎ 3월은 아직 추워서 밤새 핫팩과 전기장판으로 꽁꽁 싸매고 잤습니다🤣아무리 춥고 고생해도 캠핑은 늘 행복하네용3월 캠핑을 시작으로 올해 겨울 되기 전까지 쭉쭉 갈 예정이랍니다~~🏕❤️역대급 행복했던 오션뷰 캠핑!다음 캠핑은 마운틴뷰로 갑니당~~😝,2022년 3월 29일,Mina Okabe•Every Second,[]
28,53,캠핑은 먹으러가는거잖아요..맞죠?캠핑을 하면서 잭다니엘 허니를 처음 먹어봤는데 완전히 반해버려서 몇병째 먹는지 모르겠어요..😂😂요즘 캠핑이 너무 가고싶은데 난로가 없어서 못가고 있답니다ㅠㅠ 전기장판과 핫팩으로 가능할까요~?? 난로 너무 비싸용 ㅠㅠ캠핑가서 이쁜 조명 켜놓고 잭다니엘 허니에 고기 먹구싶네용..!! 요즘 눈사람 조명 이쁘던데 구매할 예정입니다요..☃️,2021년 11월 22일,,[]
29,76,이번 캠핑은 먹기만 했습니당><역시 새우 통통하고 좋아요!!🦐🦐캠핑하면서 조개구이도 먹고 풍경도 바라보니 너무 힐링되고 행복하네여💛이제 난로가 없어서 캠핑은 못할듯 싶어요ㅠㅠ 슬프네요ㅠㅠ,2021년 9월 29일,,[]
30,57,텐트치고 잘려고 똭 다 준비해서 부랴부랴 갔는데 폴대 부러짐…ㅋ 우울한 하루 ㅠ,2021년 9월 26일,,[]
31,96,오늘만 기다려따!!!!캠핑하러 가는 길🚗사진에서 제 신남이 느껴지시나요??포항 맛집 아시는 분~!!새우 먹고싶은데 숯불에 구워먹을 예정인데어디서 사면 맛있나용~~?,2021년 9월 3일,,[]
32,174,캠핑은 처음이어도 먹방은 처음이 아닌 것 같네유🤣🤣캠린이치고 너무 잘 먹는거 아닌가요?!??이러다가 살이 더 찌겠어요😭🤣캠핑와서 먹는건 뭐든지 맛있는 느낌❗️이 맛에 캠핑가나~??앞으로 뭘 먹을지 기대만 됩니당👩🏻‍🍳💛,2021년 8월 30일,,[]
33,180,너무 들뜬 마음에 제대로 정리도 안하고 찰칵찰칵!!📸2번째 캠핑인데 캠핑의 매력에 쏙 빠져버렸다. 자연과 함께 어우러져 밥을 먹고 담소도 나누고 잠도 자는게 소중하다.밤새 우는 귀뚜라미 소리도 너무 좋다.다음주는 어디로 캠핑을 가게요~?얼른 다음주가 왔으면 좋겠다🤍,2021년 8월 29일,가평,[]
34,138,역시 캠핑장은 이미트에서 봐야죠?!피코크는 사랑입니다…💛갑작스러운 캠핑!! 맥주6캔과 함께하는 계곡 캠핑 고고고><,2021년 8월 28일,,[]
35,126,고기 하나는 기가 막히게 잘 굽네여🥓,2021년 8월 28일,,[]
36,38,#🏕겨울은 싫은데 크리스마스는 좋아😋와인잔도 놓고가고 팬도 놓고가서아주 모든게 대체 투성이었던 게 기억나네양고기 넘나 맛있었쥐✨👍🏻,2022년 5월 10일,,[]
37,58,#🏕눈오는 날 캠핑이라니🎄✨,2022년 1월 24일,,[]
38,170,"단풍캠을 갔으나 단풍이 없었다고 한다새옷도 태워먹었다고 한다like 마시멜로우,,, 절레절레🤦🏻‍♀️",2021년 11월 6일,,[]
39,170,"🏕정리를 어떻게 해야 깔끔하려나🥺🥺자꾸 이것저것 널어놓게 되고,,,이너텐트 뒤에 자꾸 숨기게 된다🥲나만 이런건가,,,,ㅋㅋㅋㅋㅋㅋㅋ#블로우쉘터",2021년 11월 4일,,['블로우쉘터']
40,169,🏕여유로웠던 2박캠🧡❤️너무 가보고 싶었던 캠핑장이었는데진짜 바다뷰 최고였다👍🏻난로에 고구마도 구워먹고먹고싶던 곱창도 먹고타코야끼까지 해먹고이정도면 먹고 자려고 캠핑장 갔네🥲부대시설도 너무 깔끔해서여기는 진짜 백만번 더 갈고야🥰🥰#바다캠핑장 #바다뷰캠핑장,2021년 11월 2일,,"['바다캠핑장', '바다뷰캠핑장']"
41,157,햅삐 할로윈🏕#바다뷰캠핑장 #할로윈캠핑,2021년 10월 31일,,"['바다뷰캠핑장', '할로윈캠핑']"
42,169,"🏕이번주 캠핑 휴무🥲캠핑 매려운데 어떡한담,,,🤦🏻‍♀️ (사진으로 달래보기)",2021년 10월 21일,,[]
43,182,"🏕케이크까지 날려버리는 돌풍+추위로 인해 아주 다사다난했던 4주년 캠핑🥲이렇게 추울지 모르고 난로도 안가져갔는데 새벽엔 뒤쪽 팩이 다 들려서,,,결국 새벽에 차에서 자고(얼어죽는줄😭)크나큰 교훈을 얻었던 캠핑,,,🤦🏻‍♀️블로우가 이렇게 배신을 할 줄이야...!그와중에 소고기는 맛있었네❤️과연 동계캠은 가능한 것인가?!+ 우리 사진 한장도 없는 거 실화야...?#호수뷰캠핑장 #4주년",2021년 10월 18일,,"['호수뷰캠핑장', '4주년']"
44,147,"🚗🏕쌀쌀한 날씨에 먹는 라면은,,, 크으👍🏻이번주 캠핑 얼른 가고싶다아☺️기념일 선물 뭐 갖고싶냐는 울오빠갖고 싶은게 캠핑장비 뿐,,,🥲나만 이런 거 아니겠지?!#차박캠핑 #차박여행 #진라면 #jmtgr",2021년 10월 13일,,"['차박캠핑', '차박여행', '진라면', 'jmtgr']"
45,43,급 예약하고 다녀온 캠핑🏕오랜만에 삼겹살 먹었는데미나리에 김치굽고 제가 만든 파채까지야무지게 올려먹었어요🤭전 소고기보다 돼지고기가 좋은데미나리랑 같이 먹으니 향긋하고 맛있더라구요! 🥬🥩😆급 다녀온 캠핑치고 요번에두너무 잘먹고 잘놀다 왔습니당👐🏻날씨까지 완벽했던 하루💙💙💚,2022년 5월 11일,,[]
46,55,"날씨 좋은 월요일🍃비눗방울 좋아하는 어른이 순찌🐥초록초록한 영월뷰 보면서 핫도그에 맥주 마시며멍때리던 날이 그립네요,,🫠남편이 내일부터 이틀휴무인데이번주는 캠핑을 안가기로 했거둔여,,근데 급 캠핑이 땡기네유ㅋㅋㅋ예약을 해볼까요 말까요,,🤦🏻‍♀️🤦🏻‍♀️뿌엥😖🤔🫤😵‍💫🥹",2022년 5월 9일,강원도 영월,[]
47,84,"#정보공유 🍃1박의 캠핑이 점점 짧다고 느껴지다보니,멀지 않은 곳의 캠핑장을 찾게 되더라구요🤣이번에 다녀온 시흥 근교캠핑장#솔잎향캠핑파크 소개할게요🙆🏻‍♀️ 40분도 안되는 이동거리 덕분에몸도 마음도 가볍게 다녀온 곳이에요!신생캠핑장이라서 깨끗한건 물론이고평일인데도 머물다 가는 캠퍼분들이 꽤나 있었답니다😎-▫️입촌2시 / 퇴촌12시▫️매점있음 (장작,얼음판매)▫️데크,파쇄석 사이트 운영▫️뷰는 없지만 꽃은 많아요🪷▫️3번은 글램핑장으로 운영중➰▫️도로 근처라 소음있음(귀마개 주셔요)▫️산을 깎아서 만들어진 곳이라 여름에 벌레주의🕸▫️화장실에 말랑카우 핸드워시 비치되어있음🤍-평일에 캠핑을 다니는 순찌네는어딜가도 사람이 없는 편인데,오랜만에 다른 캠퍼분들 볼 수 있어서 좋기도 했어요😊여름이 와도 캠핑은 포기할 수 없자나유🏕너무 덥고 지치면 가까운 곳으로 다시 찾을거 같아요‎•ܫ•",2022년 4월 28일,,"['정보공유', '솔잎향캠핑파크']"
48,101,"#순찌캠핑 😋한달만에 오는 캠핑 !봄맞이 듀랑고 에어4 개시하며 오늘의 메뉴는✨➰죽통삼겹살🥓➰틈새라면 매운짜장+파김치➰꿀주🍯🍯#죽통삼겹살 은 처음이라 두근두근 했는데겉바속촉으로 대성공이었어요,,🫶🏻짜파게티 대신 먹어본 매운짜장도맛있게 매워서 입맛이 계속 돌고돌아파김치까지 얹어먹으면 쫀맛🤤꿀주는,,넘나 제 스타일이 아니었지만ㅋㅋㅋㅋㅋ캠핑와서 또 새로운 요리해먹으니 기분 조아라 ! 😆",2022년 4월 27일,,"['순찌캠핑', '죽통삼겹살']"
49,101,"🌸🌸🌸🌸벚꽃 만개였던 지난해 오늘💜저희 동네는 벚꽃이 아주 느릿느릿 피고 있어요 ( •᷄⌓•᷅ ) 봄 향기 가득한 요즘, 빨리 꽃놀이 가고싶어유!오늘도 해삐데이◟( ˘ ³˘)◞ ♡",2022년 4월 6일,안산호수공원,[]
50,108,"지금은 캠핑중⛺️✨평일에 캠핑오면 항상 전세캠이라 넘 좋아요❛ ֊ ❛„ 엉지부부 아침메뉴는 참치치즈토슷흐!🥪🍞🧈모양은 쭈글하지만 꿀맛이라요카구리도 처음 먹어봤는데 맛있네유〰️신혼부부 3주차, 이전과 다를 거 없는 일상이지만더 맛있게 느껴지는 건 왜일까요 😋😋",2022년 4월 1일,,[]
51,69,"#고카프 첫차 탑승!🚘첫 날 야간개장 한다고해서 다녀왔어요열심히 구경하는데 갖고싶은게 너무 많아요,,💸💸💸쇼핑은 소소하게 파티라이트 득템💡💡차박도 너무 하고싶고 카라반도 너무 사고싶다아아아언젠가 카라반 살 수 있을까🤣#수원메쎄 #캠핑가자 #🏕",2022년 4월 1일,수원메쎄,"['고카프', '수원메쎄', '캠핑가자']"
52,110,"지금은 캠핑중⛺️✨캠핑가면 역시 쉬지않고 먹어줘야쥬◟( ˘ ³˘)◞ 🦞🍖🥘🍻🍽오늘도 열일하는 짝꿍님🤍오랜만에 불멍도 활활🔥마지막으로 피칭하는 아스트라인당분간 안녕, 올 겨울에 다시 만나자👋🏼",2022년 3월 31일,,[]
53,99,"2주간의 다이어트를 시작하기 전마지막?으로 먹은 오리고기🍖🍖배불러도 볶음밥은 필수 !후식까지 너무 제대로 먹어서양심상 커피대신 국화차로 마물이,,💦다이어트는 정말 평생인 것 같아요,,말로만 하는#아가리어터 는 웁니다😭😭😭",2022년 3월 24일,,['아가리어터']
